00000001,10000000,00000000
00000010,10000000,00000000
00000011,10000000,00000000
00000100,10000000,00000000
00000101,10000000,00000000
00000110,10000000,00000000
00000111,10000000,00000000
00001000,10000000,00000000
00001001,10000000,00000000
00001010,10000000,00000000
00001011,10000000,00000000
00001100,10000000,00000000
00001101,10000000,00000000
00001110,10000000,00000000
00001111,10000000,00000000
00010000,10000000,00000000
00010001,10000000,00000000
00010010,10000000,00000000
00010011,10000000,00000000
00010100,10000000,00000000
00010101,10000000,00000000
00010110,10000000,00000000
00010111,10000000,00000000
00011000,10000000,00000000
00011001,10000000,00000000
00011010,10000000,00000000
00011011,10000000,00000000
00011100,10000000,00000000
00011101,10000000,00000000
00011110,10000000,00000000
00011111,10000000,00000000
00100000,10000000,00000000
00100001,10000000,00000000
00100010,10000000,00000000
00100011,10000000,00000000
00100100,10000000,00000000
00100101,10000000,00000000
00100110,10000000,00000000
00100111,10000000,00000000
00101000,10000000,00000000
00101001,10000000,00000000
00101010,10000000,00000000
00101011,10000000,00000000
00101100,10000000,00000000
00101101,10000000,00000000
00101110,10000000,00000000
00101111,10000000,00000000
00110000,10000000,00000000
00110001,10000000,00000000
00110010,10000000,00000000
00110011,10000000,00000000
00110100,10000000,00000000
00110101,10000000,00000000
00110110,10000000,00000000
00110111,10000000,00000000
01000000,00000000,00010000
01000000,10000000,10010000
01000001,00000000,00010000
01000001,10000000,10010000
01000010,00000000,00010000
01000010,10000000,10010000
01000011,00000000,00010000
01000011,10000000,10010000
01000100,00000000,00010000
01000100,10000000,10010000
01000101,00000000,00010000
01000101,10000000,10010000
01000110,00000000,00010000
01000110,10000000,10010000
01000111,00000000,00010000
01000111,10000000,10010000
01001000,00000000,00011000
01001000,10000000,10011000
01001001,00000000,00011000
01001001,10000000,10011000
01001010,00000000,00011000
01001010,10000000,10011000
01001011,00000000,00011000
01001011,10000000,10011000
01001100,00000000,00011000
01001100,10000000,10011000
01001101,00000000,00011000
01001101,10000000,10011000
01001110,00000000,00011000
01001110,10000000,10011000
01001111,00000000,00011000
01001111,10000000,10011000
01010000,00000000,00100000
01010000,10000000,10100000
01010001,00000000,00100000
01010001,10000000,10100000
01010010,00000000,00100000
01010010,10000000,10100000
01010011,00000000,00100000
01010011,10000000,10100000
01010100,00000000,00100000
01010100,10000000,10100000
01010101,00000000,00100000
01010101,10000000,10100000
01010110,00000000,00100000
01010110,10000000,10100000
01010111,00000000,00100000
01010111,10000000,10100000
01011000,00000000,00101000
01011000,10000000,10101000
01011001,00000000,00101000
01011001,10000000,10101000
01011010,00000000,00101000
01011010,10000000,10101000
01011011,00000000,00101000
01011011,10000000,10101000
01011100,00000000,00101000
01011100,10000000,10101000
01011101,00000000,00101000
01011101,10000000,10101000
01011110,00000000,00101000
01011110,10000000,10101000
01011111,00000000,00101000
01011111,10000000,10101000
01100000,00000000,00110000
01100000,10000000,10110000
01100001,00000000,00110000
01100001,10000000,10110000
01100010,00000000,00110000
01100010,10000000,10110000
01100011,00000000,00110000
01100011,10000000,10110000
01100100,00000000,00110000
01100100,10000000,10110000
01100101,00000000,00110000
01100101,10000000,10110000
01100110,00000000,00110000
01100110,10000000,10110000
01100111,00000000,00110000
01100111,10000000,10110000
01101000,00000000,00111000
01101000,10000000,10111000
01101001,00000000,00111000
01101001,10000000,10111000
01101010,00000000,00111000
01101010,10000000,10111000
01101011,00000000,00111000
01101011,10000000,10111000
01101100,00000000,00111000
01101100,10000000,10111000
01101101,00000000,00111000
01101101,10000000,10111000
01101110,00000000,00111000
01101110,10000000,10111000
01101111,00000000,00111000
01101111,10000000,10111000
01110000,00000000,01000000
01110000,10000000,11000000
01110001,00000000,01000000
01110001,10000000,11000000
01110010,00000000,01000000
01110010,10000000,11000000
01110011,00000000,01000000
01110011,10000000,11000000
01110100,00000000,01000000
01110100,10000000,11000000
01110101,00000000,01000000
01110101,10000000,11000000
01110110,00000000,01000000
01110110,10000000,11000000
01110111,00000000,01000000
01110111,10000000,11000000
01111000,00000000,01001000
01111000,10000000,11001000
01111001,00000000,01001000
01111001,10000000,11001000
01111010,00000000,01001000
01111010,10000000,11001000
01111011,00000000,01001000
01111011,10000000,11001000
01111100,00000000,01001000
01111100,10000000,11001000
01111101,00000000,01001000
01111101,10000000,11001000
01111110,00000000,01001000
01111110,10000000,11001000
10000001,00000000,00000000
10000010,00000000,00000000
10000011,00000000,00000000
10000100,00000000,00000000
10000101,00000000,00000000
10000110,00000000,00000000
10000111,00000000,00000000
10001000,00000000,00000000
10001001,00000000,00000000
10001010,00000000,00000000
10001011,00000000,00000000
10001100,00000000,00000000
10001101,00000000,00000000
10001110,00000000,00000000
10001111,00000000,00000000
10010000,00000000,00000000
10010001,00000000,00000000
10010010,00000000,00000000
10010011,00000000,00000000
10010100,00000000,00000000
10010101,00000000,00000000
10010110,00000000,00000000
10010111,00000000,00000000
10011000,00000000,00000000
10011001,00000000,00000000
10011010,00000000,00000000
10011011,00000000,00000000
10011100,00000000,00000000
10011101,00000000,00000000
10011110,00000000,00000000
10011111,00000000,00000000
10100000,00000000,00000000
