00000000,01111111
00000001,01111111
00000010,01111000
00000011,01110011
00000100,01110000
00000101,01101101
00000110,01101011
00000111,01101001
00001000,01101000
00001001,01100110
00001010,01100101
00001011,01100100
00001100,01100011
00001101,01100010
00001110,01100001
00001111,01100001
00010000,01100000
00010001,01011110
00010010,01011101
00010011,01011100
00010100,01011011
00010101,01011010
00010110,01011001
00010111,01011001
00011000,01011000
00011001,01010110
00011010,01010101
00011011,01010100
00011100,01010011
00011101,01010010
00011110,01010001
00011111,01010001
00100000,01010000
00100001,01001110
00100010,01001101
00100011,01001100
00100100,01001011
00100101,01001010
00100110,01001001
00100111,01001001
00101000,01001000
00101001,01000110
00101010,01000101
00101011,01000100
00101100,01000011
00101101,01000010
00101110,01000001
00101111,01000001
00110000,01000000
00110001,00111110
00110010,00111101
00110011,00111100
00110100,00111011
00110101,00111010
00110110,00111001
00110111,00111001
00111000,00111000
00111001,00110110
00111010,00110101
00111011,00110100
00111100,00110011
00111101,00110010
00111110,00110001
00111111,00110001
01000000,00110000
01000001,00101110
01000010,00101101
01000011,00101100
01000100,00101011
01000101,00101010
01000110,00101001
01000111,00101001
01001000,00101000
01001001,00100110
01001010,00100101
01001011,00100100
01001100,00100011
01001101,00100010
01001110,00100001
01001111,00100001
01010000,00100000
01010001,00011110
01010010,00011101
01010011,00011100
01010100,00011011
01010101,00011010
01010110,00011001
01010111,00011001
01011000,00011000
01011001,00010110
01011010,00010101
01011011,00010100
01011100,00010011
01011101,00010010
01011110,00010001
01011111,00010001
01100000,00010000
01100001,00001110
01100010,00001101
01100011,00001100
01100100,00001011
01100101,00001010
01100110,00001001
01100111,00001001
01101000,00001000
01101001,00000111
01101010,00000110
01101011,00000110
01101100,00000101
01101101,00000101
01101110,00000101
01101111,00000100
01110000,00000100
01110001,00000100
01110010,00000011
01110011,00000011
01110100,00000011
01110101,00000010
01110110,00000010
01110111,00000010
01111000,00000010
01111001,00000010
01111010,00000010
01111011,00000001
01111100,00000001
01111101,00000001
01111110,00000001
01111111,01111111
10000000,11111111
10000001,01111111
10000010,11111000
10000011,11110011
10000100,11110000
10000101,11101101
10000110,11101011
10000111,11101001
10001000,11101000
10001001,11100110
10001010,11100101
10001011,11100100
10001100,11100011
10001101,11100010
10001110,11100001
10001111,11100001
10010000,11100000
10010001,11011110
10010010,11011101
10010011,11011100
10010100,11011011
10010101,11011010
10010110,11011001
10010111,11011001
10011000,11011000
10011001,11010110
10011010,11010101
10011011,11010100
10011100,11010011
10011101,11010010
10011110,11010001
10011111,11010001
10100000,11010000
10100001,11001110
10100010,11001101
10100011,11001100
10100100,11001011
10100101,11001010
10100110,11001001
10100111,11001001
10101000,11001000
10101001,11000110
10101010,11000101
10101011,11000100
10101100,11000011
10101101,11000010
10101110,11000001
10101111,11000001
10110000,11000000
10110001,10111110
10110010,10111101
10110011,10111100
10110100,10111011
10110101,10111010
10110110,10111001
10110111,10111001
10111000,10111000
10111001,10110110
10111010,10110101
10111011,10110100
10111100,10110011
10111101,10110010
10111110,10110001
10111111,10110001
11000000,10110000
11000001,10101110
11000010,10101101
11000011,10101100
11000100,10101011
11000101,10101010
11000110,10101001
11000111,10101001
11001000,10101000
11001001,10100110
11001010,10100101
11001011,10100100
11001100,10100011
11001101,10100010
11001110,10100001
11001111,10100001
11010000,10100000
11010001,10011110
11010010,10011101
11010011,10011100
11010100,10011011
11010101,10011010
11010110,10011001
11010111,10011001
11011000,10011000
11011001,10010110
11011010,10010101
11011011,10010100
11011100,10010011
11011101,10010010
11011110,10010001
11011111,10010001
11100000,10010000
11100001,10001110
11100010,10001101
11100011,10001100
11100100,10001011
11100101,10001010
11100110,10001001
11100111,10001001
11101000,10001000
11101001,10000111
11101010,10000110
11101011,10000110
11101100,10000101
11101101,10000101
11101110,10000101
11101111,10000100
11110000,10000100
11110001,10000100
11110010,10000011
11110011,10000011
11110100,10000011
11110101,10000010
11110110,10000010
11110111,10000010
11111000,10000010
11111001,10000010
11111010,10000010
11111011,10000001
11111100,10000001
11111101,10000001
11111110,10000001
11111111,11111111
